n,Algorithm A (ns),Algorithm B (ns)
1038,6400,9697700
1039,6500,8928000
1040,6300,8034300
1041,6600,8253500
1042,6300,8054900
1043,6200,8665900
1044,7600,8341700
1045,6200,8924200
1046,12800,7682000
1047,6000,8738800
1048,16000,7765000
1049,6000,9627800
1050,9900,7743500
1051,6200,8683000
1052,6500,7549700
1053,7100,9150800
1054,6200,8109400
1055,6900,7652500
1056,6200,8597500
1057,6100,8946400
1058,6200,8272600
1059,13300,8713400
1060,6200,8488600
1061,7300,13175600
1062,7100,13605000
1063,6200,8222100
1064,6200,8442000
1065,6100,8521900
1066,12600,8481800
1067,6200,8841900
1068,6200,11991700
1069,6600,12918400
1070,6500,8076200
1071,7600,10782100
1072,6800,8607400
1073,6200,8846800
1074,6100,7736300
1075,6000,8249400
1076,6000,8441500
1077,6100,9612200
1078,6200,9429400
1079,6500,10794100
1080,6400,8206000
1081,6800,9278200
1082,6300,8691100
1083,6500,7877000
1084,6100,9126000
1085,12300,7733600
1086,6100,9425000
1087,6200,7880200
1088,12600,9155000
1089,12600,8380900
1090,6400,8846100
1091,12400,7943600
1092,12300,11378100
1093,7700,10200500
1094,12300,7725800
1095,6100,9071400
1096,6200,7741000
1097,6000,8448300
1098,26400,8341800
1099,12300,9058000
1100,6100,8414200
1101,5800,9367400
1102,6400,7721900
1103,6100,9638800
1104,12700,7898500
1105,6700,8632500
1106,12600,8374100
1107,6300,7714500
1108,6100,8494200
1109,6800,7998200
1110,6100,8514800
1111,6300,7556300
1112,5800,8864500
1113,6900,7749700
1114,12000,9209100
1115,6300,7793900
1116,5900,9442300
1117,6200,8342800
1118,12400,9505300
1119,6100,10271500
1120,8200,9403300
1121,6500,10753300
1122,6200,7780400
1123,6200,8901000
1124,6200,7982900
1125,12200,8855900
1126,6000,7568600
1127,5700,9648100
1128,6300,8271000
1129,6200,9416300
1130,6500,8296500
1131,7800,9117900
1132,6200,7880200
1133,6600,8317800
1134,6500,8228200
1135,18600,8397700
1136,6400,8630600
1137,6700,7757300
1138,6100,8989000
1139,6200,7557000
1140,6000,8627800
1141,6200,8118000
1142,6900,9638900
1143,6100,8012700
1144,6300,9206600
1145,6300,8261200
1146,6000,9457400
1147,7700,8009600
1148,6200,10039200
1149,6500,7752600
1150,6700,8852600
1151,6100,8409200
1152,7900,7811100
1153,12300,9259100
1154,6800,7900500
1155,6300,9085700
1156,6200,7615000
1157,5900,8493200
1158,6100,7726900
1159,5900,9761000
1160,6200,7852400
1161,7000,9404700
1162,6200,8264300
1163,6200,8787700
1164,6100,8499300
1165,6500,8489100
1166,6200,8119500
1167,6400,8372500
1168,6100,7961000
1169,6400,9494600
1170,6200,7913600
1171,7100,9217000
1172,14000,8814900
1173,13000,7893000
1174,6600,8528000
1175,6700,7982800
1176,6500,8258600
1177,8800,7880300
1178,6700,8990800
1179,6400,7875700
1180,6300,8875700
1181,7000,7784800
1182,6600,8936400
1183,6300,7834700
1184,5800,8749900
1185,27200,7728100
1186,5800,9416000
1187,6000,7476500
1188,6000,10923800
1189,6100,8134500
1190,6900,7792100
1191,6100,8267800
1192,26600,8629700
1193,6100,8900100
1194,6000,7987600
1195,6100,8968800
1196,6200,7645200
1197,5800,8770500
1198,21600,7683000
1199,6900,8383100
1200,6300,7926200
1201,6000,8516700
1202,6000,8317400
1203,6000,8673400
1204,6000,8265700
1205,6000,8573400
1206,6100,7742100
1207,11800,8260300
1208,5900,9052600
1209,12400,8345500
1210,6800,7833000
1211,5900,8914700
1212,12100,7561400
1213,5900,10320200
1214,6900,8554700
1215,6600,8301300
1216,6600,8255200
1217,6700,8876700
1218,6100,7947900
1219,6300,8019100
1220,6000,8385000
1221,7800,10142900
1222,6200,9424800
1223,6000,7550900
1224,6000,9400100
1225,6000,7600000
1226,12400,9012100
1227,6200,7575000
1228,21200,8424500
1229,6200,8012200
1230,6100,8166900
1231,6000,8300800
1232,5900,8592600
1233,6100,8064300
1234,6200,8510000
1235,12300,8627500
1236,6600,9000100
1237,7400,8414700
1238,6900,8847600
1239,11100,9026000
1240,6300,8188300
1241,6100,9006100
1242,6100,7512900
1243,5700,8834800
1244,6100,7580600
1245,6400,8999800
1246,12200,7667000
1247,5900,8779900
1248,6200,8596100
1249,6800,9186600
1250,6700,9426200
1251,6900,8740100
1252,7600,11426000
1253,6700,9189000
1254,6300,8340300
1255,6400,8592000
1256,6200,8338600
1257,6200,7969300
1258,6400,8342800
1259,6300,7984500
1260,6100,9060700
1261,6400,8461700
1262,6700,9053900
1263,7000,8451600
1264,7500,9059500
1265,6400,8211500
1266,12800,8574300
1267,12300,9404300
1268,6100,7937500
1269,6100,8831900
1270,6200,7755200
1271,5900,10128000
1272,6200,7610100
1273,5900,8912200
1274,6100,8082400
1275,6300,8615000
1276,6200,8032100
1277,12300,8939300
1278,6200,11598500
1279,6700,8261200
1280,6200,8209500
1281,6300,7808400
1282,6200,8611100
1283,6400,8263300
1284,13400,8127300
1285,6400,8859000
1286,12300,8395300
1287,6100,8270700
1288,6100,9243000
1289,6800,7578600
1290,5900,8860400
1291,6600,7659600
1292,6100,9232100
1293,6200,7702400
1294,6000,9114400
1295,6300,7825400
1296,16600,8038200
1297,6000,7781800
1298,6300,8727800
1299,21500,8252500
1300,7300,8410500
1301,6000,8843800
1302,6600,7725600
1303,5900,8228600
1304,10000,8556500
1305,6300,14295300
1306,6500,12244200
1307,6600,8586100
1308,6100,9908600
1309,6300,8410000
1310,6200,8068300
1311,6000,8320400
1312,6200,9824800
1313,6700,7559400
1314,6200,9402700
1315,6000,7622900
1316,6300,7764500
1317,12900,8342200
1318,6700,8332300
1319,6000,8967400
1320,27500,7634600
1321,21100,7618400
1322,5900,8318400
1323,6100,8680300
1324,6100,7652400
1325,11700,9387600
1326,6100,7570100
1327,5800,9487200
1328,6200,7517800
1329,5700,8794200
1330,6300,7667400
1331,5900,8658300
1332,6200,8470400
1333,6400,8577900
1334,6200,7519500
1335,6100,9147700
1336,6100,7548700
1337,8500,8973000
1338,6300,7790700
1339,6000,8766700
1340,6100,8145700
1341,6100,8465700
1342,6200,7749600
1343,6100,8677200
1344,6200,8602600
1345,6600,8888100
1346,5900,7532900
1347,6400,9027600
1348,6100,7965800
1349,6500,9133200
1350,6400,8804700
1351,6000,8416300
1352,6000,8731900
1353,5900,7482400
1354,5900,8880900
1355,6200,7360500
1356,5900,8616400
1357,6200,8265700
1358,21500,9760900
1359,21400,7577500
1360,7100,8743100
1361,6300,11085500
1362,7000,10191600
1363,6600,8765300
1364,6900,10672200
1365,6600,9759400
1366,6800,9075800
1367,7700,11954000
1368,6500,8804200
1369,12900,8282500
1370,6200,9113300
1371,6900,8284900
1372,6100,8676200
1373,6200,7983200
1374,6100,10794300
1375,12800,12066400
1376,6300,7996300
1377,6300,8400300
